SKU_Code,Design_No.,Stock,Category,Size,Color
SET116-KR-NP-XS,SET116,5,kurta set,XS,yellow
SET116-KR-NP-XXL,SET116,5,kurta set,XXL,yellow
SET116-KR-NP-XXXL,SET116,6,kurta set,XXXL,yellow
SET117-KR-NP-XS,SET117,1,set,XS,blue
SET128-KR-DH-L,SET128,16,set,L,beige
SET128-KR-DH-M,SET128,10,set,M,beige
SET128-KR-DH-S,SET128,48,set,S,beige
SET128-KR-DH-XL,SET128,4,set,XL,beige
SET128-KR-DH-XS,SET128,63,set,XS,beige
SET128-KR-DH-XXL,SET128,10,set,XXL,beige
SET128-KR-DH-XXXL,SET128,18,set,XXXL,beige
SET130-KR-NP-L,SET130,3,kurta set,L,magenta
SET130-KR-NP-M,SET130,77,kurta set,M,magenta
SET130-KR-NP-S,SET130,43,kurta set,S,magenta
SET130-KR-NP-XL,SET130,41,kurta set,XL,magenta
SET130-KR-NP-XS,SET130,46,kurta set,XS,magenta
SET130-KR-NP-XXL,SET130,10,kurta set,XXL,magenta
SET130-KR-NP-XXXL,SET130,7,kurta set,XXXL,magenta
SET131-KR-NP-L,SET131,5,kurta set,L,blue
SET131-KR-NP-M,SET131,4,kurta set,M,blue
SET131-KR-NP-S,SET131,10,kurta set,S,blue
SET131-KR-NP-XL,SET131,12,kurta set,XL,blue
SET131-KR-NP-XS,SET131,114,kurta set,XS,blue
SET131-KR-NP-XXL,SET131,5,kurta set,XXL,blue
SET131-KR-NP-XXXL,SET131,10,kurta set,XXXL,blue
SET132-KR-NP-L,SET132,3,kurta set,L,light green
SET132-KR-NP-M,SET132,8,kurta set,M,light green
SET132-KR-NP-S,SET132,38,kurta set,S,light green
SET132-KR-NP-XL,SET132,4,kurta set,XL,light green
SET132-KR-NP-XS,SET132,23,kurta set,XS,light green
SET132-KR-NP-XXL,SET132,10,kurta set,XXL,light green
SET132-KR-NP-XXXL,SET132,3,kurta set,XXXL,light green
SET135-KR-PP-L,SET135,2,set,L,navy blue
SET135-KR-PP-XL,SET135,1,set,XL,navy blue
SET135-KR-PP-XS,SET135,3,set,XS,navy blue
SET135-KR-PP-XXXL,SET135,3,set,XXXL,navy blue
SET138-KR-PP-L,SET138,1,kurta set,L,pink
SET138-KR-PP-M,SET138,2,kurta set,M,pink
SET138-KR-PP-S,SET138,4,kurta set,S,pink
SET138-KR-PP-XL,SET138,2,kurta set,XL,pink
